neighbourhood_cleansed,number_of_hosts,number_of_reviews
Buch,"[   939361  68124661  85947114  44243157 319819250 190227788  67500313
 113139749  62806564  39450649 404913305 267949781 159300022  93707699
   7479053 424393855  75331312 309958499  60393091  17275269]",584
Buchholz,"[  9352702  10380577  26618507  61527921  92011529 123399045  89794336
 163838136 209649631 168667550 242676450 223184163  20214530  29838378
 434120292 113935784 463358414]",583
Buckow,"[ 16079116  45575503  58712095 325522826 446337672  41646956 320840478
  21376717  33306057 213752534  50992051]",615
Buckow Nord,[  920085 99822205 17854948],77
Charlottenburg Nord,[ 20572681  62571948 105337889 124391826 133073482   3193555 255505646],219
Dammvorstadt,"[107377926   5949335 117406923   2569632  44821687  79838252  62606288
 149620956 266770902    716475   5882316 173995100 326126612 330802635
 267887249 409846106 148919487  10404372  30594805]",423
Drakestr.,"[106965422  42048631   9376474   4023263   4580179  18342260  29393380
  32743922  39339046  87250324 114462099 117906291 136910746 156712462
  30661887 167319423 168167047  52327150  47625075 185803969 188309571
  16215073   7666276  38068373   5811388 140564891  35615646 218540737
 170182245   1496069  86478533  15728494 127806255  21924839  74574937
  91856831 120522324 441608276 358161224 174539916  21235668 147255270
 213478932 116860248 408312147   8199222 128354857]",1312
DÃ¼sseldorfer StraÃe,"[   145583    969532   2347025   3911943  12569223  13435326  12285777
  17725981  21626575  22693048    796576  27119624   8909052  29461009
  10261849    824591  31672298  40523129  12927688   3193109  16450807
  44322194   4616252  45812828  23215827  34449068  57848204  29616872
   7479020  55119310  18575315  94193668  95441674  44373619  16380329
   9426878 101843990 109466802  21591417 117333299  41077105 113966149
 129212521 132810080 135765867 109041307  31613861 110756753 139368327
   5857991 153911309 156314830  11788627  10146191  35947647 165077669
 167508259 128953448 175804467  77249432  66297515 195205137 207178379
 112705168  75774508  58696324   1802005  34895928 218426295 224289213
 226028482  51559117 146725782  12694377 235520461  35630833  98716346
 227798081  20997299   1168268 273049892 277040136 173473002 281832236
 174364538  72442040  10714794  10039278  25335713  93877531 314719730
 352133902 354783560 370237375 364711216 253224425 372068633    604588
 348161152 402655376 337046644  12283996 255367172 401389605 179743787
 113429331 174145915 383364425  93486707 113519239 434485440 207305720
  51251225 443540526 407470065 434487590 468179275 370946279 472849007
 357976631  42060232  85038503   4446020]",3875
Falkenhagener Feld,"[  6421569  35502976 125132059 132398218  90380295 469770700 273217075
  55302214  23559175  68802527 243598169]",932
Fennpfuhl,"[ 14427855  13100553   4758906   6843878  30928939  70954933  37902539
  52347599  31643602 205049345 200098082 230662590  47907928  60771321
  78887435  42667148 272770561 288762588   9968325 243835679 220690600
 338746827 142688316 290299340 359433462 365970830  35535728  12364672
 390346751  18721832 189712516  40983069  62374655]",532
