neighbourhood_cleansed,number_of_hosts,number_of_reviews
Ward 23,"[147754621  35903519 146434373 401080995 101948760 293271372 457238824
 229039713  44140520     59072     59318   4397998   2076419    552892
   5629456  37150318    710206 172110226 145985353  52679539 441703193
   5646468     65714   7675295  10960075  11580403   5460980   5155091
   6334194  15070307  17800102  19448379  22046947   7196728  22143383
   8399592  22326954  25532983  25641550  12384178  23769471  26090427
  23406775  24885185  14262121  23563458  25203174   4621127  25643157
  34560275  29937632  31717572   3961453  30250815  37024549  37022438
 217600497  43706955  38135287  41441092  42204511  42305729  42343439
  21347619  13053305  42876519  43051535  45201483  46694396 104339295
  46819542  47165330  48553882  11433825  24211970  47456524  47527473
  47547844  16611004  47838212  46549008  46625756  49544478  20600678
  49950005   6750006  51429227  53806648  50248370  51787739  50358182
  35879969  18277323  50511592  54187277  36688092   8410637  52838738
   8613231  50717752  55378112  55490884  56864924  62209730  62236114
  59561843  62591815  57834406  11433237  60028952  63864868  60471548
  64334589  68208089   9940038  68997894  72429435  67407273  66705743
  56326193  76056526  20487901  67785014  28098053  71640838  78791066
  65043092  78379292  20079629  90772101  91055807  91088784  49767863
   4100558  87184425  31018183  86459488  93316358  56877593  69679658
  92423748  44887708   4785086  55620246  60041763  76109760  97192635
  56196939  95717807  13824707   9169718  99184490     72237  22404007
 102817080 102828145  43510472 103839607 103009791  56869449 104104847
  85575457  65484726 106880340 104866695 105779294  26518511  74346758
   6232988  73703762 101481249  51491165  52525810 106271010  99983535
  41460628 109698143  21173030  78427680 109956528 106738238 100413710
 111506483 111527535 103318847  12384865 102324994 110768085  89981333
 111875858 114622034 113942203  67676557  79794817 119594561  94730864
  63094540 113333747 119900447  91880554  90274786 121306936 106217588
 129576837 121145677  44916316 126756444  38650319 130541669 123718154
  51625780  33110394 126272230 113962558 136702393  74279229  78605545
 119930611  66099338    921898 117474954 146290161 124572692  49435966
  21912742 150239981  91937365 151417798   4746788 134557701 131339701
  85602318 111901425 154969591   8098829   2768817  54713845 157122391
 156023739 156142015 156179778  65163342 157464434 154296815 156327233
 159215185 157879513 160434239  32822008 158923242 383157392   6353206
 161735116 163010103  46203849 161750028 150125608  32031251  33406009
  51141328 110914936 102301658   3326652   7282688   3679002 168866096
 117074679 175984691 176159405  56022848 174225279 178015627 104225055
  34351746 178768736 128387562 101835954  94613183  52936137  58618356
 192810277 193010617  92759077 103790863 185350608 195641696 115841820
  59703833  23440435 202260349 192438633  23389027 198003561 198092774
 206164713 203763309  72322611 149046209 134259008  66834778 168297336
 209218737 118149148 215465740  26672301 215552076  56051043  42450275
   6308772 190265812  93583128 222182163 220488354 177979320 218412461
 167891665  46326509 191044963  66087595 226276099  86152083 225118972
 221691894  45125037 225752733 228811386  40043414 143313962 230148995
  19114189  51640457 233077688 198219224 231261826 115785713 234277883
 236793190 235050369 236955104 237377513 237481711 152204584 165186566
 239594025 112281010 194638559 243850608 244091164  53844080 240845304
 243662910 244352321 234774091  96542629 166936404 232548303  86025575
 248246680  60574269 255310985 116018589 120970345   4369217   2516345
 262011595 122795282 262589154 237371078 263006208   3414028  60102284
  38206430  31792823  99009533   6514346 274139138 283603262 280905607
  22042566 283155122  43106188 282710290  23783831  36942412 167473209
 279794091 164972752  73070442  22237956  58199063  93024452 297913998
 107722334 217373296  12531571  56490244  37601370 292247188  32944105
 296486257 292486233 299644095   9959253 270420873  13365463  82832197
 300537757  46215958 179991627 302167830  80880406  46143177 304075454
 124400378 307216017   8135771 304286817 311308401  76101578  86632806
 195386319 298099236  93152509 184240632   4468502 118383505   6142274
 110781027 312797138 313778517  37882911 295048557 314598207  57128970
 321477202  22298774  30329142 204786228 323429249 325241331 325205154
 324175047 328623001 162794864 331652830 331357052 330660996  97564026
 333805761 335506048   5556826 334445580 339579167 334639816  95974698
 199985727 160436709 290950176  53902977 341787357  55153022  89251882
  34905771 276512812 119466440 333687812 336322388  12198212 364172574
 364387745 204379101  84075735  49626631 370843946 368365886 323405945
 256040635 341955084 261535066 309635602 160275310 114930854 374067248
 375484916 375604562 262429786 374983650 360400887 126290000 252507362
 378251697 379676847  97804106  99165802 382957294  30119706 378782226
  80051811  37385605 388144378 242636310  93770890 171927981 154279041
  61181699  19315898 394817170 393654475  45643815 262404937   4130884
  57843108 162549301  27450492 222255161 402408886 145636685 405823479
 113057644  66531675 410039671  42769683 204493703 178627305 239546076
  28299901 397187957 254149254 162567263 136330133  57830560 274177831
 161011385 113366995 146736177 427326493 427462625 266329724 427668436
  57918215 116666088  22750089 266007776 396289198 150239603 429874414
 428068645 428196337 430029513 222956177 431096997 427884912  25481848
  88249110 432423638 431785776 307783644 432954848 125552176 139024036
 396333173  69314984  95370792 433122090 433906476  24576903 433173147
 310867591 317971282 437060906 147028056 134859329  30839093  25227082
 326587856 159614098  36423759 433098823  25679101  66085098 442359907
  13333178 171062813  29448957 449072959 202308639 267841866 172305357
 450424943 285076561  15518045 275311130 451073557 454230966 162267686
 452634163 141802198 453589092 456449596 145298785 330159097 458384535
 327266960 459911086 440170198 444112266  30368501 463186305  52842786
 213184484 462339042 371818055  61768961 306834332  21796856 365630574
 155355987  51410520   2047543 469027767 448724218 470605983 469572764
 186933293 471258052 260973244  49614868 472882186  19388853  63071627
 475275672  10300093  45583082 476328587 214949989  40495489 191556275
 173229183  54378163 478121126 296794466 254254602 478510351 185315549
 249247623 129206166 478497885 477782406 106862132 114602816 154405234
 185099650  24110613  28772083 317782804  35495268  25056737  44941424]",14857
Ward 25,[280227863 299429116 299429120 190070338],0
Ward 26,"[ 46064469  97869041 130533246 162855838 221490388 227397750 295993521
  97386261 340487893 371137793 373622908 370337782 212770529 312492799
 436913132 437343633 440814028 440400278 451101296 452871167 458460014
 465493095 470163063 470349349]",163
Ward 27,"[ 43479865  92023268  98542984 126058380 101358087 141814965 152934551
 152939297 158577127 181792428 187350842   9264595  74383357 226860786
 227402307 243816340  60351352 266482755 295599543 295669340 231053922
 316824835 377314901 380948069 385658843 425115523 202334936 454991693
 464688048   3811244 469486619]",144
Ward 28,[299429119],0
Ward 3,"[ 19886028  14035378  25839055  27160551  55105352  63602945 147478393
 145707250 147881955 149110530 163288689 186553662 119400713 225035025
 176067424 258514138 283890504 211090674 292926595 311298332  46852470
 331622186 336992572 288404087 127995185  62508618 273884036 373771721
 395208178 142782686 430017321 433001539 196196278 199836174 443961857
 457594690 479342864]",599
Ward 30,[305097680 366608670 376720357 380261237 444872009],63
Ward 31,[220986457],0
Ward 32,"[ 49795916  40360277  46693744 162267686 278104454 257400752 378934176
 370843946 421069500 101202472 266007776]",78
Ward 37,[439058787],0
